,Title,Type,year,actors_info,language,subtitles
2995,La invasión de las abejas reina,film,1973,"['William Smith', 'Anitra Ford', 'Cliff Osmond', 'Wright King', 'Ben Hammer', 'Anna Aries']",['Español'],['Español']
2996,La horrible noche del baile de los muertos,film,1971,"['Anthony Franciosa', 'Klaus Kinski', 'Michèle Mercier', 'Peter Carsten', 'Silvano Tranquilli', 'Karin Field', 'Raf Baldassarre', 'Irina Maleeva', 'Enrico Osterman']",['Español'],['Español']
2997,La isla sin retorno,film,1973,"['Don Marshall', 'Phyllis Davis', 'Ena Hartman', 'Marta Kristen', 'Barbara Leigh', 'Randy Boone', 'Sean Kenney', 'Tom Selleck', 'Roger E. Mosley']",['Español'],['Español']
2998,Isaac,film,2020,"['Iván Sánchez', 'Pepe Ocio', 'Erika Bleda', 'María Ribera', 'Nacho San José', 'Albert Pérez', 'Ivan Lapadula']",['Español'],[]
2999,Versogramas,film,2018,[],['Varios'],['Español']
3000,Mañana es vivir,film,1946,"['Claudette Colbert', 'Orson Welles', 'George Brent', 'Lucile Watson', 'Richard Long', 'Natalie Wood', 'John Wengraf', 'Sonny Howe', 'Ian Wolfe']",['Inglés'],['Español']
3001,Creature,film,1985,"['Stan Ivar', 'Wendy Schaal', 'Lyman Ward', 'Robert Jaffe', 'Diane Salinger', 'Annette McCarthy', 'Marie Laurin', 'Klaus Kinski', 'John Stinson']",['Español'],['Español']
3002,Masacre en Central High,film,1976,"['Derrel Maury', 'Andrew Stevens', 'Robert Carradine', 'Kimberly Beck', 'Ray Underwood', 'Steve Bond', 'Rex Steven Sikes', ""Lani O'Grady"", 'Damon Douglas']",['Español'],['Español']
3003,Los coches que devoraron París,film,1974,"['John Meillon', 'Terry Camilleri', 'Kevin Miles', 'Rick Scully', 'Max Gillies', 'Danny Adcock', 'Bruce Spence', 'Kevin Golsby', 'Chris Haywood']",['Español'],['Español']
3004,Thalasso,film,2019,"['Michel Houellebecq', 'Gerard Depardieu', 'Maxime Lefrançois', 'Mathieu Nicourt', 'Daria Panchenko', 'Luc Schwarz']",['Catalán'],[]
3005,El matón,film,1972,"['Jean Gabin', 'Fabio Testi', 'Uschi Glas', 'Jacques Richard', 'Gerard Depardieu', 'Ginette Garcin', 'Bernard Blier']",['Español'],['Español']
3006,La casa de cristal,film,1972,"['Alan Alda', 'Vic Morrow', 'Clu Gulager', 'Billy Dee Williams', 'Luke Askew', 'Dean Jagger', 'Kristoffer Tabori', 'Scott Hylands', 'Edward Bell']",['Español'],['Español']
3007,Hércules en el centro de la Tierra,film,1961,"['Reg Park', 'Christopher Lee', 'Leonora Ruffo', 'Marisa Belli', 'Mino Doro', 'Giorgio Ardisson', 'Franco Giacobini', 'Raf Baldassarre']",['Español'],['Español']
3008,El puente de Remagen,film,1969,"['George Segal', 'Robert Vaughn', 'Ben Gazzara', 'Bradford Dillman', 'E.G. Marshall', 'Peter Van Eyck', 'Hans-Christian Blech', 'Heinz Reicke', 'Matt Clark']",['Español'],['Español']
3009,Desnuda ante el asesino,film,1975,"['Edwige Fenech', 'Nino Castelnuovo', 'Femi Benussi', 'Solvi Stubing', 'Amanda ', 'Franco Diogene', 'Lucio Como', 'Erna Schürer']",['Español'],['Español']
3010,El hombre que diseñó España,film,2019,[],['Español'],[]
3011,Dimensión mortal,film,1978,"['Jim Kelly', 'Harold Sakata', 'George Lazenby', 'Terry Moore', 'Aldo Ray', 'Bob Minor', 'Patch Mackenzie', 'Myron Lee', 'April Sommers']",['Español'],['Español']
3012,Sonita,film,2015,['\u200bSonita .'],['Inglés'],[]
3013,Octavas,film,2019,[],['Varios'],['Español']
3014,Rambal (2019),short,2019,[],['Español'],[]
3015,El gran Caruso,film,1951,"['Mario Lanza', 'Ann Blyth', 'Dorothy Kirsten', 'Jarmila Novotna', 'Richard Hageman', 'Carl Benton Reid', 'Eduard Franz', 'Argentina Brunetti']",['Español'],[]
3016,El vendedor de helados,film,1995,"['Clint Howard', 'Justin Isfeld', 'Anndi McAfee', 'JoJo Adams', 'Mikey LeBeau', 'Andrea Evans', 'Sandahl Bergman', 'Olivia Hussey']",['Español'],[]
3017,Abrazo mortal,film,1980,"['Gale Garnett', 'Martin Shakar', 'Gil Rogers', 'Shannon Bolin', 'Tracy Griswold', 'Joy Glaccum', 'Sarah Albright', 'Jeptha Evans']",['Español'],[]
3018,El jardín de las torturas,film,1967,"['Jack Palance', 'Beverly Adams', 'Burgess Meredith', 'Peter Cushing', 'Michael Bryant', 'Robert Hutton', 'John Standing', 'John Phillips']",['Español'],[]
3019,El valle de Gwangi,film,1969,"['James Franciscus', 'Gila Golan', 'Richard Carlson', 'Laurence Naismith', 'Freda Jackson']",['Español'],[]
3020,La libreta de Sebastián,short,2019,"['Pep Ribas', 'Carla Torres Danés', 'Laura Prats', 'Santi Ricart', 'Míriam Marcet', 'Sam Sánchez', 'Ian Ribas', 'Júlia Téllez']",['Español'],[]
3021,Los Visitantes de la Noche,film,1942,"['Arletty', 'Fernand Ledoux', 'Alain Cuny', 'Roger Blin', 'Simone Signoret']",['Francés'],['Español']
3022,La noche que mi madre mató a mi padre,film,2015,"['Belen Rueda', 'Eduard Fernandez', 'Diego Peretti', 'María Pujalte']",['Español'],[]
3023,Huida desesperada,film,1997,"['Russell Crowe', 'Youki Kudoh', 'Kenji Isomura', 'Ray Barrett', 'Robert Mammone', 'Petru Gheorghiu', 'Anthony Phelan', 'Matthew Dyktynsh']",['Español'],['Español']
3024,Who Am I? (¿Quién soy?),film,1998,"['Jackie Chan', 'Michelle Ferre', 'Mirai Yamamoto', 'Ron Smerczak', 'Ed Nelson', 'Tom Pompert', 'Glory Simon', 'Johan van Ditmarsch']",['Español'],['Español']
3025,El Club de los Asesinos,film,1961,"['Oliver Reed', 'Diana Rigg', 'Telly Savalas', 'Curd Jürgens', 'Philiippe Noiret', 'Warren Mitchell']",['Español'],['Español']
3026,La terrorífica noche del demonio,film,1971,"['Erika Blanc', 'Jean Servais', 'Daniel Emilfork', 'Jacques Monseau', 'Lucien Raimburg', 'Colette Emmanuelle']",['Español'],['Español']
3027,Loco por Shelly,film,1989,"['Chad Lowe', ""Gail O'Grady"", 'Patrick Breen', 'Kim Flowers', 'Eric Bruskotter', 'Carmen More', 'Todd Caldecott', 'Annie Korzen']","['Inglés', 'Español']",['Español']
3028,Terror en el patio de butacas,film,1984,[],['Español'],['Español']
3029,Mordisco mortal,film,1983,"['Peter Fonda', 'Oliver Reed', 'Kerrie Keane', 'Al Waxman', 'Miguel Fernandes', 'Marilyn Lightstone', 'Angus MacInnes', 'Laurie Brown']",['Español'],[]
3030,Pan del cielo,film,2018,"['Sergio Leone', 'Paola  Pitagora', 'Mateo Çili']",['Español'],['Español']
3031,Gang,short,2020,"['Igor Szpakowski', 'Àlex Monner', 'Aimar Vega', 'Carla Linares', 'Louise Good', 'Laura Weissmahr']",['Varios'],[]
3032,Fata Morgana,film,1970,"['Wolfgang Von Ungern-Sternberg', 'James William Gledhill', 'Eugene Des Montagnes']",['Varios'],['Español']
3033,El despertar del vino en Galicia: la vuelta al terroir,film,2019,[],['Español'],[]
3034,Elena Asins-Génesi,short,2014,[],['Español'],[]
3035,Las cuatro esquinas y Madrid,film,2020,[],['Español'],[]
3036,Siembra,film,2015,"['Diego Balanta', 'Ines Granja', 'Jose Luis Preciado']",['Español'],"['Español', 'Catalán']"
3037,The woman who left,film,2016,"['Miss Charo Santos-Concio', 'John Lloyd Cruz', 'Michael De Mesa', 'Nonie Buencamino', 'Shamaine Buencamino']",['Tagalo'],['Español']
3038,El cuchillo en el agua,film,1962,"['Leon Niemczyk', 'Jolanta Umecka', 'Zygmunt Malanowicz']",['Español'],[]
3039,The Dazzled,film,2019,"['Camille Cottin', 'Jean-pierre Darroussin', 'Eric Caravaca', 'Céleste Brunnquell', 'Laurence Roy']",['Francés'],"['Catalán', 'Español']"
3040,Del viento al azul,film,2011,[],['Español'],['Inglés']
3041,Nós,serie,2019,"['Maria Léo Araruna', 'Fernando Eiras', 'Fabia Mirassos']",['Portugués'],['Español']
3042,Milicianas,film,2018,[],['Catalán'],"['Español', 'Inglés', 'Francés']"
3043,Last and First Men,film,2020,['Tilda Swinton'],['Inglés'],"['Español', 'Catalán']"
3044,Lovecut,film,2020,"['Sara Toth', 'Kerem Abdelhamed', 'Luca Von Schrader', 'Raphaela Gasper', 'Valentin Gruber']",['Alemán'],"['Español', 'Inglés', 'Catalán']"
3045,Sympathy for the Devil,film,2019,"['Niels Schneider', 'Vincent Rottiers', 'Ella Rumpf', 'Arieh Worthalter', 'Clément Métayer', 'Elisa Lasowski', 'Diego Martín', 'Adnan Omerovic']",['Varios'],[]
3046,The Rookies,film,2019,"['Milla Jovovich', 'Meitong Liu', 'Talu Wang', 'Sandrine Pinna', 'Timmy Xu', 'David Lee McInnis']",['Español'],[]
3047,Sex,serie,2020,"['Asta Kamma August', 'Jonathan Bergholdt Jørgensen', 'Nina Terese Rask', 'Sara Fanta Traore']",['Danés'],[]
3048,El Rey,film,2018,"['Luis Bermejo', 'Guillermo Toledo', 'Alberto San Juan']",['Español'],[]
3049,Supernova (2020),film,2020,"['Marek Braun', 'Marcin Hycnar', 'Marcin Zarzeczny', 'Agnieszka Skibicka', 'Anna Mrozowska']",['Polaco'],"['Inglés', 'Español']"
